college_id,college_name,type,course,year,tuition_annual,hostel_annual,other_annual,nri_tuition,is_official,source_url,note
col_1488483757,"AIIMS, Bhubaneswar",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_6135232259,"AIIMS, Bhubaneswar, AT - Sijua",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_5205054776,"AIIMS, Deogarh",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_7850909149,"AIIMS, Deogarh, AIIMS Deoghar Devipur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_5308091707,"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhan d India",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_3561552858,"AIIMS, Gorakhpur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_0979654171,"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_4477724642,"AIIMS, Jodhpur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_3758254505,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPU R- 342005, Rajastha n",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_9245966271,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2234493661,"AIIMS, Kalyani",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2754927034,"AIIMS, Kalyani, NH-34 Connector, Basantapur, Saguna, Kalyani",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_9899895159,"AIIMS, Madurai",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_6095371504,"AIIMS, Madurai, AIIMS MADURAI",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_5932653876,"AIIMS, Nagpur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_6139977040,"AIIMS, Patna",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_0209623463,"AIIMS, Patna, Phulwarisharif, Patna",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2861911641,"AIIMS, Rai Bareli",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_5899718384,"AIIMS, Rai Bareli, All India Institute of Medical Sciences Raebareli",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_0808368403,"AIIMS, Raipur",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2696357337,"AIIMS, Raipur, Tatibandh",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_9058558223,"AIIMS, Rishikes h, ALL INDIA INSTITU TE OF MEDICA L SCIENC ES, RISHIKE SH Uttarakh and - 249203, Uttarakh and",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_7948786423,"AIIMS, Rishikesh",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_5470508284,"AIIMS, Rishikesh, ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH",AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_4036549569,AIIMS-Bhopal,AIIMS,MBBS,,5856,12000,6000,0,0,,type-based indicative estimate (medical)
col_2611533354,"ANUGR AH NARAYA N MAGAD H MEDICA L COLLEG E, GAYA, S HERGH ATIROA D, GAYA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7325785528,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_3013554356,"ASSAM MEDICAL COLLEGE, DIBRUGARH",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6840126510,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9755304672,ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9972444064,"Aarupad ai Veedu Medical College and Hospt., Puduche rry",PRIVATE,MBBS,,1200000,150000,80000,3000000,0,,type-based indicative estimate (medical)
col_0929727234,Aarupadai Veedu Medical College and Hospt.,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_ap_8307534cdc49,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",PRIVATE,MBBS,,1200000,150000,80000,3000000,0,,type-based indicative estimate (medical)
col_ap_6359eff744b1,"Alluri Sitarama Raju Academy of Medical Sciences, M alkapuram, Eluru, West Godavari Dist.",PRIVATE,MBBS,,1200000,150000,80000,3000000,0,,type-based indicative estimate (medical)
col_4966903340,"Amrita Institute of Medical Science, Kochi",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_2118491179,"Amrita Institute of Medical Science, Kochi, Amrita School of Medicine",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_5780240441,"Amrita School of Dentistry, Kochi",DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_6816618975,"Amrita School of Dentistry, Kochi, Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS)",DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_6932818297,Amrita School of Medicine Faridabad,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_5345929248,"Andama n and Nicobar Islands Institute of Medical S, Directo r ANIIMS, DHS Annexe Building",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1676229326,Andaman and Nicobar Islands Institute of Medical S,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0332878351,"Andaman and Nicobar Islands Institute of Medical S,Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104, Andaman And Nicobar Islands, 744104",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6175678877,"Andhra Medical College, Visakhapatnam",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_ap_b521f76298f2,"Anna Gowri Medical College and Hospital, Parameshwaramangalam",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_ap_33f6cc0d8240,"Apollo Inst. Of Medical Sciences &Research, Chittoor",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_ap_bd124ff23357,"Apollo Institute of Medical Sciences and Research, Chittoor",PRIVATE,MBBS,,1200000,150000,80000,3000000,0,,type-based indicative estimate (medical)
col_4626831927,Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_066a722b7816,Autonomous State Medical Collage,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1356919734,Autonomous State Medical College,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_3091667295,"Autonomous State Medical College Society, Mirzapur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7224619583,"Autonomous State Medical College Society, Mirzapur, MAA VINDHYAVASINI AUTONOMOUS STATE MEDICAL COLLEGE PIPARDARH, VISHUNDERPUR, MIRZAPUR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9786489351,"Autonomous State Medical College Society, Mirzapur, Piparadarh, Visunderpur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4438177472,"Autonomous State Medical College, Amethi (U.P.), Autonomous State Medical College, Tiloi, Amethi (U.P.) - 229309",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4588362927,"Autonomous State Medical College, Etah",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6448531154,"Autonomous State Medical College, Etah, NAGLA PADIHAR SIRAO MAHARARA LINK",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5784843913,"Autonomous State Medical College, Fatehpur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_2915262623,"Autonomous State Medical College, Ghazipur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_2519506686,"Autonomous State Medical College, Ghazipur, Principal Prashasnik Bhawan MV Autonomous State Medical College RTI Chauraha Ghazipur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0228111726,"Autonomous State Medical College, Gonda, Chhavanni Sarkar Infront of Circuit House Gonda",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6292880010,"Autonomous State Medical College, Kanpur Dehat",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1499050384,"Autonomous State Medical College, Lakhimpur Kheri",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8352459304,"Autonomous State Medical College, Lalitpur, U.P",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0079680371,"Autonomous State Medical College, Pilibhit",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4901748608,"Autonomous State Medical College, Pratapgarh",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_c915330640e2,"Autonomous State Medical College, Siddharthnaga r",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_49ab4ff6719e,"Autonomous State Medical College, Sonebhadra, R ounp Rd, Churk, Roberts ganj, Sonebhadra",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6615292223,"Autonomous State Medical College, Sultanpur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9170056923,Autonomous State Medical college Society Hardoi,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4326465829,"Autonomous State Medical college Society Hardoi, Gaura Danda",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1351714059,"Autonomous state Medical College, Kaushambi",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7200814323,"Autonomous state Medical College, Sehud, Auraiya, Sehud Auraiya",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8026108479,"B.J. Government Medical College, Pune",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1971197553,"B.J. MEDICAL COLLEGE, AHMEDABAD",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_2393237240,"B.J. MEDICAL COLLEGE, AHMEDABAD, B J Medical College",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8068231784,"B.L.D.E University, Bijapur",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_0596108467,"B.R.D. MEDICAL COLLEGE, GORAKHPUR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7185155369,"BANKURA SAMMILANI MED COLL, BANKURA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9501489019,"BANKURA SAMMILANI MED COLL, BANKURA, Principal, Bankura Sammilani Medical College, Lokepur",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6332933977,"BELGAUM INST. OF MEDICAL SCI., BELGAUM",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0414574260,BHAARATH MEDICAL COLLEGE AND HOSPITAL,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_0712237746,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1693841445,"BPS Govt. Med. College, Sonepat",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8971795542,"BPS Govt. Med. College, Sonepat(Female Seat only )",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7446152525,"BPS Govt. Med. College, Sonepat, BPS GOVT MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6076059203,"BUNDELKHAND MEDICAL COLLEGE, SAGAR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0713222030,"BUNDELKHAND MEDICAL COLLEGE, SAGAR, Shivaji ward",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9730759917,"BURDWAN MEDICAL COLLEGE, BURDWA N",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0942795538,"BURDWAN MEDICAL COLLEGE, BURDWAN, BURDWAN MEDICAL COLLEGE, BABURBAG",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9665800222,"BV Deemed Uni. Med. College and Hos., Sangli",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_7404773217,BVDU Dental College and Hospital,DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_6452314349,"Baba Kinaram Autonomous State Medical College, Chandauli, Baba kinaram autonomous state Medical college, Naubatpur, Chandauli",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1411720933,Bangalore Medical College and Research Institute,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4955077057,Barasat Government Medical College & Hospital,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5267706906,Bharati Vidyapeeth DU Dental College and Hospt.,DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_1344330016,Bharati Vidyapeeth DU Medical College,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9741103496,"Bharati Vidyapeeth DU Medical College, Dhankawadi",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_2085098821,Bhima Bhoi Medical College and Hospital,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7812381978,Burdwan Dental College & Hospital,GOVT,BDS,,50000,25000,15000,0,0,,type-based indicative estimate (dental)
col_1897172171,C. Institute of Medical Sciences,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_4f5220e116d8,"C. Institute of Medical Sciences, Chamarajanag ar, SY NO.124, YEDAPURA VILLAGE, KASABA HOBLI",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8740864194,"CALCUTTA NATIONAL MED COLL, KOLKATA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5345905367,"CHENGALPATTU MEDICAL COLL, CHENGALPATTU",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8006359615,"CHHATT ISGARH INSTITU TE OF MEDICA L SCIENC ES, BILASP, GOND PARA, SADAR BAZAAR BILASPU R - 495001 (CG), Chhattisg arh",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_ade97145ef94,"CHHATTISGA RH INSTITUTE OF MEDICAL SCIENCES, BILASP, GON D PARA, SADAR BAZAAR BILASPUR 495001 (CG)",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6903998336,"CHHATTISGAR H INSTITUTE OF MEDICAL SCIENCES, BILASP",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8939385328,"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP,GOND PARA, SADAR BAZAAR BILASPUR - 495001 (CG), Chhattisgarh, 495001",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0456741559,"CHIKKA BALLAP URA INSTITU TE OF MEDICA L SCIENC ES, KARNAT AKA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1047156239,CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_3361084442,"COIMBATORE MEDICAL COLLEGE, COIMBATORE",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_1196645078,"COLLEG E OF MEDICIN E and JNM HOSPIT AL, KALYANI",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4154504097,COLLEGE OF MEDICINE and JNM HOSPITAL,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5347792141,"Chandulal Chandrakar Memorial Government Medical College, Durg",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4294714855,"Chandulal Chandrakar Memorial Government Medical College, Durg, Chandulal Chandrakar Memorial Government Medical College",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7791369042,"Chettinad Hos. and Res. Inst., Kancheepuram",PRIVATE,MBBS,,1200000,150000,80000,3000000,0,,type-based indicative estimate (medical)
col_9105731122,"Chettinad Hos. and Res. Inst., Kancheepuram, Rajiv Gandhi Salai, Kelambakkam",DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_2133117517,Chhindwara Institute of Medical Sciences,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_0620225768,Chikkamagaluru Institute of Medical Sciences,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9749385949,Chitradurga Medical College and Research Institute,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9757200035,"College Governm ent Medical College Alwar, Go vernment Medical College Alwar Jail Circle alwar, Rajastha n",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4110995967,College Government Medical College Alwar,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_3999152631,"College Government Medical College Alwar, Government Medical College Alwar Jail Circle alwar",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_bf104497a13a,"College of B.Sc. Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College",GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_3e9befd79de4,"College of B.Sc. Nursing BHU, VARANASI, Th e Director Institute of Medical Sciences Banaras Hindu University",CENTRAL,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_28d3852dff88,College of B.Sc. Nursing Dr. RML Hospital,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_009824904988,College of B.Sc. Nursing Florence Nightingale CON,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_3ea331b460b1,College of B.Sc. Nursing LHMC,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_22cad4b12f1f,College of B.Sc. Nursing RAK CON,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_r3_b905a3effbb2,College of B.Sc. Nursing Safdarjung Hospital,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_7523443447,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College",GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_6690365874,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College(Female Seat only )",GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_3574418749,"College of Nursing BHU, VARANASI",CENTRAL,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_6969298684,"College of Nursing BHU, VARANASI, The Director Institute of Medical Sciences Banaras Hindu University",CENTRAL,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_9750711209,College of Nursing Dr. RML Hospital,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_3787617621,College of Nursing Florence Nightingale CON,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_5069247353,College of Nursing LHMC,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_8417302851,College of Nursing RAK CON,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_5169367903,College of Nursing Safdarjung Hospital,GOVT,BSc Nursing,,20000,15000,8000,0,0,,type-based indicative estimate (nursing)
col_3863352521,DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_7103800790,"DC, RIMS, Imphal",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_2383671975,"DR. R. AHMED DENT.COLL & HOSP, KOLKATA",GOVT,BDS,,50000,25000,15000,0,0,,type-based indicative estimate (dental)
col_1741521531,"DR. VAISHAMPAYAM MEMORIAL M.C., SHOLAPUR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6247056930,"DR.RAJENDRA PRASAD MC, TANDA",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5535833488,"DR.RAJENDRA PRASAD MC, TANDA, Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P.",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8923853628,"DR.S.C. GOVT MEDICA L COLLEG E, NAND ED, VISH NUPURI NANDED MAHAR ASHTRA 431606, Maharas htra",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_r3_6ea9d2daa7fc,"DR.S.C.GOVT MEDICAL COLLEGE, N ANDED, VISH NUPURI NANDED MAHARASHT RA 431606",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_2124253940,"DR.S.C.GOVT MEDICAL COLLEGE, NANDED",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_4802956014,"DR.S.C.GOVT MEDICAL COLLEGE, NANDED, VISHNUPURI NANDED",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6343504357,"DR.S.N. MEDICAL COLLEGE, JODHPUR",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_3305402119,DY Patil University School of Medicine,DEEMED,MBBS,,2200000,200000,100000,4000000,0,,type-based indicative estimate (medical)
col_7611701289,"Darbhanga Medical College, Laheriasarai",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7544650085,Deben Mahata Government Medical College & Hospital,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7969421428,Dental Institue,GOVT,BDS,,50000,25000,15000,0,0,,type-based indicative estimate (dental)
col_5524721323,Dhubri Medical College,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_5416104235,Diamond Harbour Govt Medical College,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9214861791,"Diamond Harbour Govt Medical College, New Town",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7694033867,Diphu Medical College & Hospital,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_9175504128,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_7617915458,Dr. B.R. Ambedkar State Institute of Medical Sciences,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_8594173572,Dr. B.S.A. Medical College,GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
col_6335862991,Dr. DY Patil Dental College and Hosp. Navi Mumbai,DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_2563320914,Dr. DY Patil Dental College and Hosp. Pune,DEEMED,BDS,,600000,150000,80000,1500000,0,,type-based indicative estimate (dental)
col_9270197566,"Dr. DY Patil Medical College and Hospt., Pune",GOVT,MBBS,,35000,25000,15000,0,0,,type-based indicative estimate (medical)
